listing_id	location	title	sub_title	mileage	engine_details	asking_price	vendor	sale_type
1668259727305-3823596241-location	Auckland, Auckland	2016 Nissan Leaf	 PAY ONLY $21930 AFTER $3450 CASH BACK REBATE! 	40,338km	Electric, Automatic	$24,880		Asking price  $24,880
1668259727314-3823579026-location	Wellington, Wellington	2022 Nissan Navara	 WEEK DAY DRIVE OR THE WEEKEND ESCAPE VEHICLE! 	1,500km	2298cc, Diesel, Automatic	$74,825		Asking price  $74,825
1668259727322-3823551596-location	Christchurch, Canterbury	2008 Nissan Navara	sub_title missing	264,400km	2488cc, Diesel, Automatic	$17,999		Asking price  $17,999
1668259727333-3823537025-location	Auckland, Auckland	2019 Nissan X-Trail	 HOME OF THE 5-DAY MONEY BACK GUARANTEE 	55,632km	2488cc, Petrol, Automatic	$29,990		Asking price  $29,990
1668259727340-3823495242-location	Wellington, Wellington	2022 Nissan Navara	 NISSAN FUTURE VALUES, 3.9% OVER 3 YEARS T&C APPLY 	50km	2298cc, Automatic	$74,925		Asking price  $74,925
1668259727349-3823418378-location	Waikato, Waikato	2017 Nissan Qashqai	 Come talk to our expert Finance team 	66,025km	1997cc, Petrol, Automatic	$23,990		Asking price  $23,990
1668259727361-3823418263-location	Auckland, Auckland	2017 Nissan Note	 1 YEAR WARRANTY WITH 7/24 HOUR AA ROADSERVICE 	93,131km	1200cc, Hybrid, Automatic	$16,990		Asking price  $16,990
1668259727368-3823418186-location	Auckland, Auckland	2017 Nissan Note	 1 YEAR WARRANTY WITH 7/24 HOUR AA ROADSERVICE 	102,707km	1200cc, Hybrid, Automatic	$13,890		Asking price  $13,890
1668259727405-3823418157-location	Auckland, Auckland	2017 Nissan Note	 1 YEAR WARRANTY WITH 7/24 HOUR AA ROADSERVICE 	88,581km	1200cc, Hybrid, Automatic	$14,390		Asking price  $14,390
1668259727417-3823390292-location	Taupo, Waikato	2022 Nissan Navara	sub_title missing	mileage missing	2298cc, Diesel, Automatic	$67,750		Asking price  $67,750
1668259727427-3823331288-location	Christchurch, Canterbury	2008 Nissan Navara	sub_title missing	190,390km	2488cc, Diesel, Manual	$17,999		Asking price  $17,999
1668259727444-3823318190-location	Christchurch, Canterbury	2022 Nissan X-Trail	 3.9% FINANCE | STRICTLY LIMITED NUMBERS | RUN OUT 	15km	2488cc, Petrol, Automatic	$44,312		Asking price  $44,312
1668259727454-3823318149-location	Christchurch, Canterbury	2022 Nissan X-Trail	 RUNOUT NOW ON | 3.9% FINANCE | LIMITED STOCK 	15km	2499cc, Petrol, Automatic	$44,312.50		Asking price  $44,312.50
